actual_day,bottle,treatment,vs_in,vs_s,vs_fed,daily_biogas,methane_v_frac,daily_methane,cumu_methane
17,2,Inoculum,7,0,7,0.03467795684395103,0.858718143,0.02977859070407177,5.0414052453144675
18,2,Inoculum,7,0,7,0.09289942031956677,0.85958399875,0.07985485519985021,5.121260100514318
19,2,Inoculum,7,0,7,-0.046887363664215975,0.8604498545,0,5.121260100514318
20,2,Inoculum,7,0,7,0.16211726147995176,0.86131571025,0.1396341442153896,5.260894244729708
21,2,Inoculum,7,0,7,0.12800318907701502,0.862181566,0.1103619900114149,5.371256234741123
22,2,Inoculum,7,0,7,-0.4648345500998614,0.862181566,0,5.371256234741123
23,2,Inoculum,7,0,7,0.12744799267052365,0.862181566,0.1098833099042286,5.481139544645352
24,2,Inoculum,7,0,7,0.12752993201658036,0.862181566,0.10995395649792879,5.5910935011432805
25,2,Inoculum,7,0,7,0.08083200570890359,0.862181566,0.06969186526502343,5.660785366408304
26,2,Inoculum,7,0,7,-0.03507419678186352,0.862181566,0,5.660785366408304
27,2,Inoculum,7,0,7,-0.08154770024574454,0.862181566,0,5.660785366408304
28,2,Inoculum,7,0,7,0.24365369836185913,0.862181566,0.21007372721531933,5.870859093623624
1,3,Inoculum,7,0,7,3.500303539899675,0.339941616,1.189898841844016,1.189898841844016
2,3,Inoculum,7,0,7,0.9195469213098786,0.679883232,0.6251845328358099,1.8150833746798258
3,3,Inoculum,7,0,7,0.5873522031142748,0.725434249,0.4260854043646994,2.2411687790445254
4,3,Inoculum,7,0,7,0.5755971844663943,0.770985266,0.443776948374674,2.6849457274191995
5,3,Inoculum,7,0,7,0.40219796421201526,0.7833791831666667,0.31507351267570477,3.0000192400949044
6,3,Inoculum,7,0,7,0.3893129348656883,0.7957731003333333,0.3098047611779378,3.309824001272842
7,3,Inoculum,7,0,7,0.5362445372666347,0.8081670175,0.43337514833344376,3.7431991496062857
8,3,Inoculum,7,0,7,0.2935530169654097,0.8205609346666667,0.24087813797535645,3.984077287581642
9,3,Inoculum,7,0,7,0.4272560138888881,0.8329548518333333,0.3558849697437194,4.339962257325362
10,3,Inoculum,7,0,7,0.10642611769488752,0.845348769,0.08996718758282228,4.429929444908184
11,3,Inoculum,7,0,7,0.2797360734499792,0.84880198325,0.23744053393091,4.667369978839093
12,3,Inoculum,7,0,7,0.053465148525912554,0.8522551975,0.045565950716318436,4.712935929555412
13,3,Inoculum,7,0,7,0.385898492603971,0.85570841175,0.33021658620286315,5.043152515758275
14,3,Inoculum,7,0,7,0.29286989787819806,0.859161626,0.2516225776674866,5.294775093425762
15,3,Inoculum,7,0,7,-0.43998633066189363,0.8590137983333334,0,5.294775093425762
16,3,Inoculum,7,0,7,0.2397711221569967,0.8588659706666667,0.20593125756920488,5.5007063509949665
17,3,Inoculum,7,0,7,0.05331328558377635,0.858718143,0.0457810855937291,5.546487436588696
18,3,Inoculum,7,0,7,0.09289230875094923,0.85958399875,0.07984874220926055,5.626336178797956
19,3,Inoculum,7,0,7,-0.04017820514188841,0.8604498545,0,5.626336178797956
20,3,Inoculum,7,0,7,0.18560435838901768,0.86131571025,0.1598639497713323,5.786200128569289
21,3,Inoculum,7,0,7,0.20023477143169544,0.862181566,0.17263872880063122,5.95883885736992
22,3,Inoculum,7,0,7,-0.34665926239598477,0.862181566,0,5.95883885736992
23,3,Inoculum,7,0,7,0.3988149288759253,0.862181566,0.34385087992242386,6.302689737292344
24,3,Inoculum,7,0,7,0.4255786035590816,0.862181566,0.3669260268726621,6.669615764165005
25,3,Inoculum,7,0,7,0.49041803817068796,0.862181566,0.4228293921446515,7.092445156309656
26,3,Inoculum,7,0,7,-0.10659811324295809,0.862181566,0,7.092445156309656
27,3,Inoculum,7,0,7,-0.09345080071708978,0.862181566,0,7.092445156309656
28,3,Inoculum,7,0,7,0.05449055686355031,0.862181566,0.04698075364882785,7.139425909958485
1,4,I+RS (ISR: 2),5,2.5,7.5,4.471356127948193,0.353951903,1.5826450104779743,1.5826450104779743
2,4,I+RS (ISR: 2),5,2.5,7.5,1.6639265641299303,0.707903806,1.1778999476520808,2.760544958130055
3,4,I+RS (ISR: 2),5,2.5,7.5,1.313305810122987,0.749263935,0.9840126791511121,3.7445576372811673
4,4,I+RS (ISR: 2),5,2.5,7.5,1.1928518215203496,0.790624064,0.9430973548802214,4.687654992161389
5,4,I+RS (ISR: 2),5,2.5,7.5,0.9463259440297804,0.8005538056666667,0.7575848358941417,5.445239828055531
6,4,I+RS (ISR: 2),5,2.5,7.5,0.9547340995059788,0.8104835473333333,0.7737962797277013,6.219036107783232
7,4,I+RS (ISR: 2),5,2.5,7.5,1.6241633785868395,0.820413289,1.3324852192997811,7.551521327083013
8,4,I+RS (ISR: 2),5,2.5,7.5,-0.9841803429210749,0.829092864,0,7.551521327083013
9,4,I+RS (ISR: 2),5,2.5,7.5,0.46565868777526553,0.837772439,0.3901160145990237,7.941637341682037
10,4,I+RS (ISR: 2),5,2.5,7.5,0.8349653102327128,0.846452014,0.7067580684666146,8.648395410148652
11,4,I+RS (ISR: 2),5,2.5,7.5,0.7064719203746641,0.845318428,0.5971937331572522,9.245589143305905
12,4,I+RS (ISR: 2),5,2.5,7.5,0.2800402570782108,0.844184842,0.23640574017520874,9.481994883481114
13,4,I+RS (ISR: 2),5,2.5,7.5,1.5562407561173899,0.843051256,1.3119907240831552,10.79398560756427
14,4,I+RS (ISR: 2),5,2.5,7.5,0.8562357720063662,0.84191767,0.7208800261382511,11.514865633702522
15,4,I+RS (ISR: 2),5,2.5,7.5,0.1016696844904672,0.8439509126666667,0.08580422301626184,11.600669856718783
16,4,I+RS (ISR: 2),5,2.5,7.5,0.35026069491319944,0.8459841553333333,0.29631499813260936,11.896984854851393
17,4,I+RS (ISR: 2),5,2.5,7.5,0.6572229092228241,0.848017398,0.5573364613851295,12.454321316236523
18,4,I+RS (ISR: 2),5,2.5,7.5,0.43860600458123145,0.84899114375,0.3723726134850374,12.82669392972156
19,4,I+RS (ISR: 2),5,2.5,7.5,0.46114529756252765,0.8499648895,0.39195731188617844,13.21865124160774
20,4,I+RS (ISR: 2),5,2.5,7.5,0.43379416551191596,0.85093863525,0.3691322151801224,13.587783456787863
21,4,I+RS (ISR: 2),5,2.5,7.5,0.364079673182907,0.851912381,0.31016398125495215,13.897947438042815
22,4,I+RS (ISR: 2),5,2.5,7.5,0.7324844923424507,0.851912381,0.6240126079170335,14.521960045959847
23,4,I+RS (ISR: 2),5,2.5,7.5,0.06501187827734256,0.851912381,0.05538442401653308,14.57734446997638
24,4,I+RS (ISR: 2),5,2.5,7.5,-0.6526545133110595,0.851912381,0,14.57734446997638
25,4,I+RS (ISR: 2),5,2.5,7.5,0.583556449857781,0.851912381,0.4971389646462493,15.074483434622628
26,4,I+RS (ISR: 2),5,2.5,7.5,-0.06646269004734506,0.851912381,0,15.074483434622628
27,4,I+RS (ISR: 2),5,2.5,7.5,0.03132592339127527,0.851912381,0.026686941983284907,15.101170376605912
28,4,I+RS (ISR: 2),5,2.5,7.5,0.23418220152769464,0.851912381,0.19950271689128019,15.300673093497192
1,5,I+RS (ISR: 2),5,2.5,7.5,3.1065240042703324,0.353951903,1.0995600830266643,1.0995600830266643
2,5,I+RS (ISR: 2),5,2.5,7.5,1.287248317808816,0.707903806,0.9112479834439585,2.0108080664706227
